Title,Location,Price,Area,BHK
1 BHK Apartment - A Light in the Attic,Noida,11701958.0,1800,1
4 BHK Apartment - Tipping the Velvet,Chandigarh,7158626.0,800,4
5 BHK Apartment - Soumission,Ghaziabad,6554905.0,500,5
3 BHK Apartment - Sharp Objects,Bhopal,6493558.0,800,3
1 BHK Apartment - Sapiens: A Brief History of Humankind,Hyderabad,5569849.0,500,1
5 BHK Apartment - The Requiem Red,Indore,8387848.0,1000,5
1 BHK Apartment - The Dirty Little Secrets of Getting Your Dream Job,Ghaziabad,6079392.0,650,1
"1 BHK Apartment - The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Gurgaon,6950021.0,650,1
3 BHK Apartment - The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Mumbai,8985089.0,800,3
4 BHK Apartment - The Black Maria,Bangalore,8786166.0,800,4
"3 BHK Apartment - Starving Hearts (Triangular Trade Trilogy, #1)",Bhopal,6436729.0,800,3
5 BHK Apartment - Shakespeare's Sonnets,Pune,11475657.0,1500,5
2 BHK Apartment - Set Me Free,Gurgaon,10945174.0,1500,2
4 BHK Apartment - Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Delhi,8638059.0,800,4
3 BHK Apartment - Rip it Up and Start Again,Gurgaon,9746210.0,1200,3
"3 BHK Apartment - Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Gurgaon,9858069.0,1200,3
4 BHK Apartment - Olio,Noida,8163978.0,800,4
4 BHK Apartment - Mesaerion: The Best Science Fiction Stories 1800-1849,Kolkata,9158021.0,1200,4
1 BHK Apartment - Libertarianism for Beginners,Chennai,6027129.0,650,1
5 BHK Apartment - It's Only the Himalayas,Faridabad,6656352.0,500,5
1 BHK Apartment - In Her Wake,Kolkata,5342704.0,500,1
5 BHK Apartment - How Music Works,Mumbai,14092697.0,1800,5
"5 BHK Apartment - Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Mumbai,9449784.0,800,5
4 BHK Apartment - Chase Me (Paris Nights #2),Chennai,16797850.0,2800,4
3 BHK Apartment - Black Dust,Mumbai,15066091.0,2200,3
3 BHK Apartment - Birdsong: A Story in Pictures,Gurgaon,11241327.0,1500,3
5 BHK Apartment - America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Ghaziabad,6517237.0,500,5
5 BHK Apartment - Aladdin and His Wonderful Lamp,Gurgaon,10572308.0,1200,5
3 BHK Apartment - Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Mumbai,8398682.0,650,3
2 BHK Apartment - Wall and Piece,Pune,5975870.0,500,2
1 BHK Apartment - The Four Agreements: A Practical Guide to Personal Freedom,Bhopal,7959584.0,1200,1
5 BHK Apartment - The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Jaipur,9398625.0,1200,5
4 BHK Apartment - The Elephant Tree,Kolkata,10686724.0,1500,4
4 BHK Apartment - The Bear and the Piano,Mumbai,18134456.0,2800,4
2 BHK Apartment - Sophie's World,Hyderabad,16307793.0,2800,2
1 BHK Apartment - Penny Maybe,Indore,9137734.0,1500,1
4 BHK Apartment - Maude (1883-1993):She Grew Up with the country,Gurgaon,14880232.0,2200,4
